"Earthquake_id","Earthquake_Date","MMI","Clinic","Week_Of","Patients","Visits","CD4","ViralLoad","ART"
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-02-24,980,91,45,37,1
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-03-02,990,106,50,36,5
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-03-09,1034,108,44,39,2
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-03-16,943,117,29,43,4
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-03-23,997,93,39,44,6
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-03-30,977,108,46,44,5
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-04-06,1064,137,42,36,6
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-04-13,1031,102,35,45,2
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-04-20,1009,111,45,36,3
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-04-27,1043,130,46,46,3
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-05-04,1033,119,32,46,3
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-05-11,997,111,35,37,1
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-05-18,1016,117,37,30,1
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-05-25,1037,128,39,29,2
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-06-01,1012,134,44,31,2
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-06-08,926,116,34,30,4
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-06-15,1023,117,42,40,3
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-06-22,976,115,35,40,2
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-03-04,986,180,61,60,8
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-03-11,985,142,53,60,2
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-03-18,1012,183,50,58,3
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-03-25,1009,137,51,57,7
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-04-01,983,163,68,49,9
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-04-08,1010,142,59,52,5
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-04-15,1023,149,49,69,2
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-04-22,992,155,57,45,6
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-04-29,955,145,48,53,5
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-05-06,1010,161,65,47,2
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-05-13,1042,150,59,43,7
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-05-20,1019,146,46,53,9
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-05-27,981,147,60,53,4
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-06-03,962,132,47,54,6
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-06-10,944,137,48,42,5
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-06-17,1001,143,66,59,8
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-06-24,996,149,48,45,1
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-07-01,990,154,44,49,5
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-07-08,1016,134,64,58,4
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-07-15,975,140,66,45,6
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-07-22,965,133,51,51,5
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-07-29,963,144,49,46,4
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-08-05,1000,142,47,48,7
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-08-12,985,139,55,60,4
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-08-19,1042,132,64,50,9
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-08-26,1025,99,44,37,5
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-09-02,1037,90,41,34,1
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-09-09,1030,94,47,42,3
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-09-16,998,112,34,27,5
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-09-23,980,106,37,36,1
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-09-30,995,97,34,37,3
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-10-07,1014,101,43,36,4
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-10-14,1083,122,39,43,0
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-10-21,1039,119,36,38,1
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-10-28,1022,124,34,50,5
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-11-04,1040,124,44,37,3
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-11-11,1082,116,40,35,1
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-11-18,945,91,39,40,3
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-11-25,975,116,39,31,4
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-12-02,986,113,34,35,2
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-12-09,984,114,43,42,1
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-12-16,991,109,41,42,2
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-12-23,972,121,36,41,3
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2004-12-30,960,117,33,28,2
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2005-01-06,1055,136,47,41,3
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2005-01-13,975,134,36,28,1
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2005-01-20,1000,126,43,50,2
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2005-01-27,925,110,45,35,3
"M 5.3 - 4 km S of Anse-à-Veau, Haiti",2004-08-19,3,"Port-au-Prince, Haiti",2005-02-03,1022,138,37,28,1
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-05-22,1204,95,45,51,5
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-05-29,1162,101,46,35,1
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-06-05,1250,116,34,43,7
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-06-12,1176,112,49,37,1
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-06-19,1184,101,47,36,4
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-06-26,1214,98,39,46,3
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-07-03,1205,106,35,55,7
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-07-10,1166,108,35,40,6
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-07-17,1245,89,47,32,6
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-07-24,1197,120,37,38,4
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-07-31,1192,118,30,38,5
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-08-07,1236,83,43,31,4
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-08-14,1211,89,33,38,3
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-08-21,1224,99,43,37,4
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-08-28,1172,105,41,35,1
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-09-04,1110,84,26,33,3
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-09-11,1179,94,47,40,3
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-09-18,1160,92,43,26,3
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-09-25,1181,92,39,34,4
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-10-02,1244,85,27,34,3
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-10-09,1173,105,34,33,0
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-10-16,1232,89,33,32,2
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-10-23,1184,86,31,36,3
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-10-30,1195,85,31,35,2
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-11-06,1245,94,41,45,5
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-11-13,1203,68,22,32,3
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-11-20,1226,65,31,30,2
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-11-27,1209,84,38,36,1
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-12-04,1244,83,27,27,1
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-12-11,1204,73,29,23,0
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-12-18,1206,88,36,20,3
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2001-12-25,1214,82,29,21,1
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2002-01-01,1157,84,29,30,2
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2002-01-08,1199,81,28,22,3
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2002-01-15,1215,68,31,27,1
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2002-01-22,1236,97,26,20,3
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2002-01-29,1182,68,21,21,1
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2002-02-05,1232,74,28,29,2
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2002-02-12,1189,74,25,21,3
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2002-02-19,1194,74,20,22,4
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2002-02-26,1217,88,22,27,0
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2002-03-05,1178,86,27,34,0
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2002-03-12,1121,81,19,16,3
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2002-03-19,1187,101,32,26,4
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2002-03-26,1146,77,22,38,1
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2002-04-02,1162,89,28,21,2
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2002-04-09,1143,76,32,36,4
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2002-04-16,1207,91,37,24,1
"M 5.3 - 6 km SSE of Marale, Honduras",2001-11-06,3.4,"Tegucigalpa, Honduras",2002-04-23,1163,94,30,27,0
"M 5.4 - 9 km W of San Bartolo, Peru",2000-03-30,5.2,"Lima, Peru",1999-10-14,1604,236,90,98,13
